order_id,delivery_date,dispatch_window,customer_id,customer_name,address,city,state,zip,truck_id,product,units,weight_lbs,lat,lng
SO-728400,2026-07-20,06:30,BENNVT,Bennington Building Supply,121 Depot St,Bennington,VT,05201,T-01,BCI I-joists 11.875,86 pcs,5334,42.8795,-73.1925
SO-728403,2026-07-20,06:30,PITTSL,Pittsfield Lumber & Supply,555 Dalton Ave,Pittsfield,MA,01201,T-01,Trex composite decking,7 pallets,14978,42.452,-73.238
SO-728405,2026-07-20,06:30,NADAMS,Mohawk Trail Building Supply,1420 Curran Hwy,North Adams,MA,01247,T-01,SPF dimensional lumber 2x4-2x10,"3,800 BF",8964,42.7009,-73.1087
SO-728409,2026-07-20,06:30,LEEBS,Lee Building Products,180 Pleasant St,Lee,MA,01238,T-01,CDX plywood 1/2 4x8,5 pallets,11516,42.3042,-73.2482
SO-728410,2026-07-20,06:30,PITTSL,Pittsfield Lumber & Supply,555 Dalton Ave,Pittsfield,MA,01201,T-01,LVL 1.75x11.875 beams,63 pcs,5989,42.452,-73.238
SO-728412,2026-07-20,06:30,NATWOB,National Lumber Woburn,245 Salem St,Woburn,MA,01801,T-02,CDX plywood 1/2 4x8,16 pallets,36396,42.4855,-71.145
SO-728416,2026-07-20,06:30,TROYBS,Collar City Building Supply,621 River St,Troy,NY,12180,T-03,James Hardie lap siding,5 pallets,14102,42.7284,-73.6918
SO-728418,2026-07-20,06:30,SCHENBS,Schenectady Lumber,1680 Chrisler Ave,Schenectady,NY,12303,T-03,Trex composite decking,6 pallets,13676,42.8025,-73.9401
SO-728420,2026-07-20,06:30,BFSALB,Builders FirstSource Albany,926 Broadway,Albany,NY,12207,T-03,OSB 7/16 4x8 sheathing,3 pallets,6390,42.6598,-73.7405
SO-728423,2026-07-20,06:30,CAPDIST,Capital District Building Supply,1218 Central Ave,Albany,NY,12205,T-03,Millwork & interior trim,6 bundles,11147,42.7105,-73.8202
SO-728427,2026-07-20,06:30,WATBS,Brass City Building Supply,2100 S Main St,Waterbury,CT,06706,T-04,BCI I-joists 11.875,404 pcs,25043,41.5661,-73.0405
SO-728429,2026-07-20,06:30,NORWICH,Rose City Lumber,224 W Main St,Norwich,CT,06360,T-05,CertainTeed vinyl siding,8 pallets,11602,41.532,-72.0801
SO-728431,2026-07-20,06:30,NORWBS,Norwalk Lumber & Millwork,120 Water St,Norwalk,CT,06854,T-06,BCI I-joists 11.875,87 pcs,5421,41.1177,-73.4079
SO-728434,2026-07-20,06:30,NORWBS,Norwalk Lumber & Millwork,120 Water St,Norwalk,CT,06854,T-06,LVL 1.75x11.875 beams,86 pcs,8141,41.1177,-73.4079
SO-728436,2026-07-20,06:30,NORWBS,Norwalk Lumber & Millwork,120 Water St,Norwalk,CT,06854,T-06,Millwork & interior trim,3 bundles,6241,41.1177,-73.4079
